Platform ,Gender,Category,Price range,Delivery Charge,Product Name,Review,Star
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,ঘড়ির কোয়ালিটি বেশি ভালো নাহ্,3
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,দাম অনুযায় মোটামুটি ভালো,3
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,দাম অনুযায়ী মোটামুটি খারাপ মনে হচ্ছে না। বাকিটা ব্যবহার করার পরে বলতে পারব। ধন্যবাদ।,3
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,ঘড়ি টা বেশ ভালো,3
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,এই দামে অনেক ভালো ঘড়ি। কালারও ভালো। কালো রঙের চেয়েছিলাম সেটাই পেয়েছি। তবে পার্সেল রিসিভ করার পর দেখি প্যাকেট এর কিছু অংশ খোলা। তবে প্যাকেট খোলার পর দেখি পণ্য ঠিক আছে। প্যাকেট খোলা থাকার কারণে 4 স্টার রেটিং দিয়েছি,4
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,ঘড়ির বেলটা একটু সমস্যা ছিল। তাছাড়া খারাপ না দাম অনুযায়ী প্রডাক্ট ঠিক আছে। দেখতে সুন্দর,4
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,"ঘড়িটা দাম অনুযায়ী অনেক ভালো, যেটা চেয়েছি সেটাই পেয়েছি,সেলার অনেক ভালো, আপনারা নিতে পারেন",4
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,"এইদামের মধ্যে ভালো একটা প্রোডাক্ট। তবে ক্লিপ, গোল ফিতা টকটু ভালো করলে ভালো হতো।আউটলুক মোটামুটি ভালো",4
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,দারাজের জন্য হাত ঘড়ি পড়তে পারলাম,4
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,দাম অনুযায়ী প্রডাক্ট সুন্দর,4
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,যেমন চেয়েছি তেমন পাইছি আলহামদুলিল্লাহ 🫡🫡🫡,4
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,কম দামে ভালো❤️,4
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,সুন্দর হয়েছে।,4
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,"সব জিনিসের যেই দাম ওই হিসেবে আমি বলব হাজারগুন ভালো, এই দামের ভিতরে,, ধন্যবাদ সেলার ভাইকে কম দামে ভালো পণ্য দেওয়ার জন্য🥰🥰🥰",5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,১৩২ টাকা দাম অনুযায়ী ঘড়িটা আসলেই খুব ভালো। তার প্রমাণ ছবিতেই। দেখতেও সুন্দর আবার হাতে পড়েও মজা।,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,আলহামদুলিল্লাহ কম দামের মধ্যে অসাধারণ একটা ঘড়ি যেমনটা দেখেছি ঠিক তেমনটাই পেয়েছি যতটুকু আশা করেছিলাম এর চেয়ে বেশি বেশি আলহামদুলিল্লাহ প্রোডাক্টটা অনেক সেলার কে অনেক ধন্যবাদ🥰🥰,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,ধন্যবাদ দারাজ'কে। এই দামে অনেক ভালো একটি অপশন। নির্ধারিত তারিখেই ডেলিভারী হাতে পেয়েছি। বিজ্ঞাপণের সাথে প্রোডাক্টের হুবুহু মিল রয়েছে। 5 star review done.,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,"দাম অনুযায়ী ভালোই। তবে এতো তারাতারি রঙ উঠে যাবে ভাবি নি। দুইটা ঘড়ি অর্ডার করেছিলাম। পরে দেখি একটা দুইটা স্ট্র‍্যাপই আছে, আরেকটা একটা স্ট্র‍্যাপ নাই। তাও ঘড়ি দেখতে সুন্দর, চলছে ঠিক। ভালো প্রডাক্ট",5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,আলহামদুলিল্লাহ ঘড়িটা দেখতে অনেক সুন্দর 💜 কিন্তু ডেলিভারিতে অনেক দেরি করছে 🙂,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,অনেক সুন্দর হয়েছে। চাইলে নিতে পারেন। আমার তো অনেক অনেক ভালো লাগছে❤️❤️❤️,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,সত্যি আনেক ভালো যেমন দেখেছি তেমনি,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,ঘড়িটি প্রথমবার দেখে আমি খুবই অবাক হয়েছি কারণ কোয়ালিটি অনেক ভালো পুরোপুরি মেটালের বডি আর ভালো ছিল ঘরের বেলটি ও আকর্ষণীয় আপনারা সবাই নিতে পারেন,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,"দারাজ থেকে পণ্য কিনে খারাপ অভিজ্ঞতা ছাড়া কিছু পাওয়া যায় না, এই প্রথম কোনো পণ্য কিনে সেটিসফাইড হলাম।তবে ডেলিভারি ম্যানের কথায় যা বুঝলাম পণ্য ভালো ও হতে পারে খারাপ ও হতে পারে সেটা নাকি ভাগ্যের উপর। আমাদের আরো সচেতন হতে হবে। সর্বোপরি সেলারকে ধন্যবাদ আমার ঘড়িটি ঠিকঠাক বুঝিয়ে দেয়ার জন্য।",5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,আলহামদুলিল্লাহ অনেক সুন্দর প্রডাক্ট টি দেওয়ার জন্য। আমি মনে করি এত কম দামি এত সুন্দর প্রোডাক্ট কখনোই পাবেন না ধন্যবাদ। 👍👍👍👍👍,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,"আসসালামু আলাইকুম, ধন্যবাদ দারাজকে, পণ্যটি আজকে হাতে পেলাম, যেমন চেয়েছিলাম, ঠিকঠাক পেয়েছি, আশা করি ভালো হবে, ইউজ না করেই রিভিউ দিয়ে দিলাম। 😊😊,",5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,৩ টা ঘরি ওডার করছি ২ খুব বালো কিন্তু ১ টা পুস কাজ করতাছেনা এখন কি করবো তাছারা সব ঠিকঠাক আছে,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,"হাতে পেলাম পন্যটি,যেমন দেখেছি তেমনি পেলাম। ধন্যবাদ দারাজ",5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,ঠিক ভাবে পেলাম সেইম জিনিস টা ধন্যবাদ সেলার ভাই।,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,"এক কথায় অসাধারন, এতো কম টাকায় অনেক ভালো পনন্য,আমি খুব খুশি 🥰চাই কেউ নিতে পারেন।",5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,আলহামদুলিল্লাহ দাম হিসেবে অনেক ভালো প্রোডাক্ট পেয়েছি।আপনারা চাইলে নিতে পারেন,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,যেমন চেয়েছি তেমন পাইছি। ধন্যবাদ সেলার কে,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,গিফট এর জন্য কম টাকার ভিতরে অসাধারণ,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,অর্ডারের চারদিনের দুপুর বারোটায় আমার হাতে পেলাম। আলহামদুলিল্লাহ তাদের সার্ভিস আমার খুব ভালো লাগলো। এবং ডেলিভারি ম্যানের ব্যবহার মাশাআল্লাহ।,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,"আলহামদুলিল্লাহ যেমনটা অর্ডার করছিলাম তেমনটাই পেয়েছি ঘড়িটা দেখতে যেমন লাগে হাতে পড়লে আরো বেশি সুন্দর লাগে,, অল্প টাকায় প্রিমিয়াম কোয়ালিটির ঘড়ি আপনারাও নিতে পারেন নিঃসন্দেহে",5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,কম টাকায় ভালমানের ঘড়ি পেয়েছি।কালার যেটার অর্ডার করেছিলাম সেটা পেয়েছি।সবাইকে বলছি দারাজে পন্য ক্রয় করবেন ঠকবেননা।,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,"চাইলাম কি দিলেন কি সেম না থাকলে বলতে পারতেন আরেকটা দিছেন কেন,তারপরও খারাপ না মোটামুটি ভালোই",5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,"আলহাদুলিল্লাহ আজ হাতে পাইলাম ছবির সাথে মিল আছে,,সবাই নিতে পারেন,ধন্যবাদ সেলার ভাইকে❤️🥀",5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,"দাম হিসাবে জিনিস ঠিক আছে ,,কালারটা একটু আলাদা",5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,ঘড়িটা দাম অনুযায়ী দেখতে ভালো তবে ঘড়ির বেল্টের চামড়া টা আরেকটু ভালো দেয়া দরকার।,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,দাম অনুযায়ী ভালো পণ্য। ধন্যবাদ সেলার ভাই।,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,দাম অনুযায়ী অনেক ভালো আমার অনেক পছন্দ হয়েছে। thank you Daraz 😊😊😊😊,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,দুই টা অর্ডার দিয়ে টাকা দিছি ভিতরে একটা পাইছি,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,কম দামে অনেক সুন্দর 💚 আপনারা চাইলে নিতে পারেন,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,প্রোডাক্ট যেমন দেখানো হয়েছে তেমনি পেয়েছি,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,দাম অনুযায়ী ভালোই আছে👍,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,কম দামে ভালো প্রোডাক্ট,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,ঘড়িটির কোয়ালিটি ভালো,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,"আলহামদুলিল্লাহ, খুবই.।",5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,এক কথায় অস্থির ❤️❤️,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,খুব ভালো লাগলো,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,নিব না🥺🥺🥺,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,আলহামদুলিল্লাহ ঘড়িটা খুব ভালো এবং ডেলিভারি দেওয়া ভাইটা খুব খুব ভালো ছিল আলহামদুলিল্লাহ সব কিছু ঠিক ঠাক ছিল৷৷,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,"watch টা অসাধারন ছিল । যেই watch টা আমি পেয়েছি এটা কোনো দোকানে কিনতে গেলে ৫০০+ নিবে । যারা casual fashion এর জন্য watch নিয়ে চান এটা তাদের জন্যে best । but এটা high premium না , কিন্তু quality ভালো ।",5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,এই দামের মধ্যে মোটামুটি ভালো প্রোডাক্ট।চাইলে আপনারা নিতে পারেন। আর ডেলিভারিও খুব তাড়াতাড়ি ছিল।,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,এই ঘড়িগুলো 15 পিচ নিয়েছি অনেক সুন্দর ঘড়ি এত কম দামে এত ভালো ঘড়ি বাজারে হয় না টেকসই ভালো,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,ঘড়িটা খুবই সুন্দর ছবিতে যা দেওয়া ছিল হুহুহু বর্ণিত হয়েছে আপনারা ইচ্ছা করলেই কিনতে পারেন,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,আলহামদুলিল্লাহ প্রোডাক্ট টি। যেমন চেয়েছি তেমনি পেয়েছি আপনারা চাইলে নিতে পারেন,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,"দাম হিসেবে প্রোডাক্ট খুবই ভালো, এই দামে তো আর একটা ঘড়ি আশা করা যায় না",5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,মুটামুটি কম দামের মধ্যে অনেক ভালো। চাইলে যে কেউ নিতে পারেন 🫰,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,দাম অনুযায়ী অনেক ভালো। আপনারা নিঃসন্দেহে নিতে পারেন,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,ঘড়ি ভালো বেল্ট মজবুত হলে ঘড়িটি আরো অসাধারণ হতো!,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,আলহামদুলিল্লাহ যেমন ছিলাম তেমনি পেয়েছি ধন্যবাদ,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,"বাটপারি বাদ দেন, ওয়াডার করলাম কি? আর দিলেন কি?",5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,দাম হিসেবে প্রোডাক্ট ভালো। ধন্যবাদ সেলারকে।💞,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,ঘরিটা ঘুব সুন্দর লাগছে কম টাকায় ভালো পন‍্য,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,ধন্যবাদ সঠিক পন্যটি পেয়ে অনেক খুশি🥰🥰🥰,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,যা চেয়েছিলাম তাই পেয়েছি ধন্যবাদ Daraz কে,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,আলহামদুলিল্লাহ যেমন চেয়েছি তেমন পেয়েছি,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,ফ্রী ডেলিভারি পেয়েছি তো এজন্য ঠিক আছে।,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,আলহামদুলিল্লাহ আমি সঠিক পণ্যটি পেয়েছি,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,আলহামদুলিল্লাহ জা দেখছিলাম তাই পাইছি,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,ঘড়িটা ভলোই!দাম অনুযায়ী ঠিক আছে।,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,আলহামদুলিল্লাহ ভালো ভালো জিনিস,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,দাম বিবেচনায় ভালো পণ্য!!!,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,অনেক সুন্দর হয়েছে।,5
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,অল্প টাকায় ভা‌লো,5
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,"ফাজলামির একটা লিমিট থাকা লাগে।চাইসি কী দিসে কী? দেখে প্রোডাক্ট পাঠাতে পারেন না? প্রোডাক্টটা ভালো, কিন্তু সেলার ফালতু। টাকা টাতো ঠিকই নিয়ে নিসে,এখন বলবে, আমাদের ভুল হয়েছে ভাই আবার পাঠান, দরকার কী ভাই এসব হয়রানির? ফালতু সেলার,Not recommended...😒",1
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,দাম হিসেবে কাপড় টা ভালো😊 বাট কাপড়ের ব্যাগ সাইডে দাগ আছে😒,1
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,চেয়েছি এস কালার দিয়েছে সাদা কালার শখ করে নিয়েছি ভাই কিন্তু শখের মধ্যে পানি ঢেলে দিলি আমাকে বেজার করে যে টাকাটা নিচস ভাই উপর ওয়ালার কাছে ছেড়ে দিছি সে এই টাকাটা যেনো তোর জন্য হারাম উপার্জন হয়,1
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,"খানকির পোলা,নোটকির পোলা,তোর মারে চুদি,সুওরের বাচ্চা, তোর নানির গুদে ১২ হাত, খাষ্ঠে মাগির পোলা তোরে বাশ বাগানের মাথার উপরে উঠায়া ঠাপামু. তোরে কইছি M সাইজ দিতে আর তুই Xl দিছোস.. এখন এই গেন্জি তোর মার ভোদার মধ্যে ঢুকামু",1
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,"বালের কোয়ালিটি, বালের সাইজ। সব ধান্দাবাজ। বাংলাদেশের ই-কমার্স জীবনেও সাফল্যের দেখা পাবে না।কাস্টমারদের মেরে খাওয়া ছাড়া তাদের আর কোন প্রসেসই নাই।কাস্টমারদের সুবিধা অসুবিধা দেখার কোন দরকার নাই,দিন শেষে টাকা পাইলেই তাদের দায় সারা। আর।",1
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,ভাইয়া আমার এই t-shirt টা আসেনি,1
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,মোটামুটি চলে,1
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,ভালো না,1
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,ভাই কালার আরেকটা আসছে,2
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,দাম হিসেবে কাপড় টা ভালো😊 বাট কাপড়ের ব্যাগ সাইডে দাগ আছে😒,2
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,এ দম বেকার শাট 🥺আমার দারাজ থেকে এতা আশা করি নাই 😡,2
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,চেয়েছি এস কালার দিয়েছে সাদা কালার শখ করে নিয়েছি ভাই কিন্তু শখের মধ্যে পানি ঢেলে দিলি আমাকে বেজার করে যে টাকাটা নিচস ভাই উপর ওয়ালার কাছে ছেড়ে দিছি সে এই টাকাটা যেনো তোর জন্য হারাম উপার্জন হয়,2
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,"খানকির পোলা,নোটকির পোলা,তোর মারে চুদি,সুওরের বাচ্চা, তোর নানির গুদে ১২ হাত, খাষ্ঠে মাগির পোলা তোরে বাশ বাগানের মাথার উপরে উঠায়া ঠাপামু. তোরে কইছি M সাইজ দিতে আর তুই Xl দিছোস.. এখন এই গেন্জি তোর মার ভোদার মধ্যে ঢুকামু",2
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,"কাপড় আরো ভালো হলে ভালো হতো,আর কিছু জায়গার সেলাই ও ছেঁড়া ছিল,কিন্তু প্রিন্টিং খারাপ না।",3
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,ভালই কাপোর টা আর ভালো হতে পারত,3
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,দাম অনুযায়ী মোটামুটি ভালো।তবে ছবিতে যেমন কালার সুন্দর তেমন বাস্তবে ওএটাও সুন্দর না।চাইলে সবাই নিতে পারেন।,4
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,দাম হিসাবে কাপড়ের quality ভালো আছে আপনারা চাইলে নিতে পারেন....,4
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,অর্ডার দিয়েছে একটা আর দিছে আরেকটা এই প্রথমবার দারাজ থেকে এ ধরনের প্রোডাক্ট পেলাম 🥲🥲🥲 মার্চেনকে প্রোডাক্ট দেওয়ার আগে চেক করা প্রয়োজন ছিল এ কাজটি করা মার্চেন্টের উচিত হয়,5
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,daraz কে অনেক ধন্যবাদ যে রুকুম টিশার্ট চেয়েছি ঠিক সে রুকুম পেয়েছি আপনারা চাইলে নিতে পারেন অনেক ভালো কাপড়।আর সেলার ভাইয়াকে ও অনেক ধন্যবাদ ঠিক সময়ে মাল ডেলিভারি দেওয়ার জন্য।,5
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,আমি চাইছিল সাদা আর ব্লাক দিয়ে দিয়েছে দুইনুতা সাদার তবুও মোটামুটি ভালো আছে কাপড়টা অনেক ভালো সবাই নিতে পারে😍😍😍😌😌😌,5
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,যেমনটা চাই দেখছি তেমনটা পাইনি টি-শার্টের কালার টা হালকা ছিল যেমন ছবিতে দেওয়া ছিল তেমনটা পায়নি টি শার্ট কালার হালকা এমনি মোটামুটি সব ঠিক আছে আপনারা চাইলে নিতে পারেন,5
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,আলহামদুলিল্লাহ যেরকম চেয়ে ছি ওরকম পেয়েছি সবাই নিতে পারেন মোটামুটি,5
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,শয়তান সেলার কম টাকায় ভালো জিনিস দিয়েছে 🥰🥰 অনেক ভালো পোডাক্ট। সবাই নেন।,5
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,"Yoongi লেখাটা ভালো ভাবে আসেনি T shirt এ yoongi লেখা ছিল বোলেই তো আমি এটা order দিয়েছিলাম তবে, বাকি সবকিছু ঠিক আছে",5
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,টিশার্ট টা অনেক অনেক সুন্দর। আমার অনেক পছন্দ হয়েছে। অর্ডার করার সময় কালার নিয়ে কনফিউজড ছিলাম বাট নাহ কালার কোয়ালিটি একদম ঠিকঠাক। দামের হিসেবে It's really a very good deal. সব বিটিএস লাভারদের আমি highly recommend করব যে you should definitely try this. I'm so happy with my purchase. Thanks seller also Daraz,5
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,আলহামদুলিল্লাহ যেমনটা চেয়েছিলাম তেমনটাই পেয়েছি প্রোডাক্টটা অনেক ভালো চাইলে আপনারাও নিতে পারেন সেলসম্যান টা অনেক ভালো অল্প সময়ের ভেতর পেয়ে গেছি thanks daraz,5
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,"আলহামদুলিল্লাহ যেমনটা চেয়েছিলাম তেমনটাই পেয়েছি, আর রাইডারদের ব্যবহার অনেক সুন্দর। ধন্যবাদ দারাজ।",5
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,দাম অনুযায়ী অনেক ভালো। বলতে গেলে অসাধারণ একটা প্রোডাক। আপনারা চাইলে নিতে পারেন 🥰🥰,5
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,আলহামদুলিল্লাহ্ অনেক ভালো আপনার চাইলে নিতে পারেন,5
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,আলহামদুলিল্লাহ অনেক ভাল টি সার্ট আমার খুব পছন্দ হয়েছে কেয়ালেটি অনেক ভালো,5
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,টি-শার্টটা ভালোই বাট জার্সি না হয়ে যদি কটন কাপড়ের হতো তাহলে খুব ভালো হতো,5
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,দাম হিসাবে ভালো আপনারা নিতে পারেন,5
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,দাম হিসেবে টিশার্টা অনেক ভালো ছিল যেমনটি চেয়েচিলাম তেমনি পেয়েছি,5
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,টি শার্ট এর পিছনে সুতা উঠানো,5
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,আলহামদুলিল্লাহ অনেক ভালো।,5
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,আমার কাছে অনেক ভালো লাগলো...! আপনারা চাইলে নিতে পারেন 🥰🥰,5
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,দাম হিসেবে খারাপ না ভালোই আপনারা নিতে চাইলে নিতে পারেন,5
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,অসংখ্য ধন্যবাদ দারাজ কে। য়েমনটা চায়ছি তেমনটায় পায়ছি।,5
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,মোট ১১ টা নিয়েছি । অনেক ভালো। নিতে পারেন,5
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,ছবির মতই আছে ধ্যনবাত ডেলিভারি চাজ বেশি,5
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,খুব ভালো এটা নিতে পারেন,5
Daraz,male,T-Shirt,151-300,free,Can you feel it Bts Tshirts,পন্যটি ভাল আছে ♥️,5
